10.1103/PhysRevA.76.013835|2007-07-27|78.67|b'juan jos\xc3\xa9 s\xc3\xa1enz><luis s. froufe-p\xc3\xa9rez><r\xc3\xa9mi  carminati'
10.1103/PhysRevA.76.023811|2007-08-15|78.67|b'tuomas  vallius><jari  turunen><benfeng  bai><yuri  svirko'
10.1103/PhysRevA.76.023819|2007-08-21|78.67|b'paul  mandel><thomas  erneux><evgeny a. viktorov'
10.1103/PhysRevA.76.033820|2007-09-19|73.20|b'astrid  lambrecht><carsten  henkel><francesco  intravaia'
10.1103/PhysRevA.76.035802|2007-09-26|78.67|b'feng  gao><zaijun wang wang><x. r. huang><s. s. jiang><r. w. peng'
10.1103/PhysRevA.76.043834|2007-10-23|73.20|b'o.  merchiers><f.  gonz\xc3\xa1lez><j. m. saiz><f.  moreno'
10.1103/PhysRevA.76.043841|2007-10-26|78.67|b'g. kh. kitaeva'
10.1103/PhysRevA.76.052302|2007-11-02|78.67|b'fang yu  hong><s. j. xiong'
10.1103/PhysRevA.76.052317|2007-11-20|78.67|b'reeta  vyas><daniel  erenso><arnab  mitra'
10.1103/PhysRevB.59.10145|1999-04-15|73.20|b'pedro m. echenique><aitor  bergara><j. m. pitarke'
10.1103/PhysRevB.59.10152|1999-04-15|73.20|b'e.  \xc5\xa0im\xc3\xa1nek'
10.1103/PhysRevB.59.10158|1999-04-15|73.20|b'm. n. islam><abraham moyses cohen><gilmar eugenio marques><c. m. de oliveira><r. f. austin><r. d. feldman><carlos lenz cesar><a. m. de paula'
10.1103/PhysRevB.59.10165|1999-04-15|73.20|b'franca  manghi><fausto  rossi><elisa  molinari><massimo  rontani'
10.1103/PhysRevB.59.10202|1999-04-15|73.20|b'm. j. godfrey><s. a. levetas'
10.1103/PhysRevB.59.10217|1999-04-15|73.20|b'markus  b\xc3\xbcttiker><ya. m. blanter'
10.1103/PhysRevB.59.10240|1999-04-15|73.20|b'detlef  heitmann><chr.  steinebach><christian  sch\xc3\xbcller'
10.1103/PhysRevB.59.10268|1999-04-15|73.20|b'a.  dinger><michael  hetterich><claus  klingshirn><ch.  m\xc3\xa4rkle><m.  gr\xc3\xbcn'
10.1103/PhysRevB.59.10283|1999-04-15|73.20|b'yoichi  kawakami><shigeo  fujita><yukio  narukawa><s. n. nakamura'
10.1103/PhysRevB.59.10315|1999-04-15|73.20|b'j. h. wolter><a. yu. silov><w. d. vleuten><j. m. haverkort><j.  br\xc3\xbcbach'
10.1103/PhysRevB.59.10327|1999-04-15|73.20|b'atsushi  koma><h.  murata'
10.1103/PhysRevB.59.10356|1999-04-15|73.20|b'j.  viernow><d. y. petrovykh><f. k. men><franz j. himpsel><j. l. lin><martin  henzler><a.  kirakosian'
10.1103/PhysRevB.59.10362|1999-04-15|73.20|b'a.  derraa><martin g. lee'
10.1103/PhysRevB.59.10559|1999-04-15|73.20|b'vyacheslav g. storchak><g. d. morris><masayoshi  senba><jess h. brewer><donald j. arseneau'
10.1103/PhysRevB.59.10583|1999-04-15|73.20|b'a. d. chakrabarti><f. e. wagner><m.  witko><r.  druzinic><klaus  hermann><m.  petersen'
10.1103/PhysRevB.59.10622|1999-04-15|73.20|b'david s. ginger><neil c. greenham'
10.1103/PhysRevB.59.10707|1999-04-15|73.20|b'yshai  avishai><richard  berkovits><daniel  berend'
10.1103/PhysRevB.59.10712|1999-04-15|73.20|b'm.  van der burgt><hiroshi  yaguchi><john  singleton><ellis a. johnson><c. r. stanley><e.  skuras><andrew r. long><m. c. holland><b.  v\xc3\xb6gele'
10.1103/PhysRevB.59.10730|1999-04-15|73.20|b'e. h. hwang><sankar  das sarma'
10.1103/PhysRevB.59.10769|1999-04-15|73.20|b'r.  grill><gottfried h. d\xc3\xb6hler'
10.1103/PhysRevB.59.10923|1999-04-15|73.20|b'hideaki  aizawa><masaru  tsukada'
10.1103/PhysRevB.59.10935|1999-04-15|73.20|b'andrey g. borisov><a. k. kazansky><j. p. gauyacq'
10.1103/PhysRevB.59.12200|1999-05-15|73.20|b'sang soo lee><myung ho kang><j. s. cho><z. y. zhang'
