10.1103/PhysRevE.72.046202|2005-10-04|b'05.45.Ac><45.05.+x><45.10.Hj><45.20.Jj'|b'S. S. Abdullaev',,,
10.1103/PhysRevE.72.066219|2005-12-29|b'05.45.Tp><05.40.\xe2\x88\x92a><05.45.Mt'|b'A. Rela\xc3\xb1o><J. Retamosa><E. Faleiro><J. M G. G\xc3\xb3mez',,,
10.1103/PhysRevE.72.031604|2005-09-19|b'64.60.Qb><05.45.Yv><89.90.+n'|b'Rosalie Laure Woulach\xc3\xa9><David Yem\xc3\xa9l\xc3\xa9><Timol\xc3\xa9on C. Kofan\xc3\xa9',,,
10.1103/PhysRevE.72.056215|2005-11-23|b'05.45.Mt><03.65.Sq><11.10.Lm'|b'Sven Gnutzmann><Alexander Altland',,,
10.1103/PhysRevE.72.026136|2005-08-29|b'89.75.Hc><05.70.Fh'|b'Juyong Park><M. E. J. Newman',,,
10.1103/PhysRevE.72.046211|2005-10-18|b'05.45.Xt'|b'Diego Paz\xc3\xb3',,,
10.1103/PhysRevE.72.026131|2005-08-26|b'89.75.Hc><05.65.+b><87.23.Ge><89.20.Hh'|b'Kwangho Park><Ying-Cheng Lai><Nong Ye',,,
10.1103/PhysRevE.72.016130|2005-07-29|b'64.60.Ht><05.45.Xt><64.60.Ak><05.10.Cc'|b'Thomas Risler><Jacques Prost><Frank J\xc3\xbclicher',,,
10.1103/PhysRevE.72.046207|2005-10-13|b'05.45.Mt><03.65.Sq'|b'Sebastian M\xc3\xbcller><Stefan Heusler><Petr Braun><Fritz Haake><Alexander Altland',,,
10.1103/PhysRevE.72.012901|2005-07-05|b'87.23.Kg><89.75.Da><02.50.Ey'|b'Alexandre Rosas><Isabel Gordo><Paulo R. A. Campos',,,
10.1103/PhysRevE.72.036117|2005-09-16|b'89.75.Hc><87.10.+e><02.10.Ox><05.70.Ln'|b'Rudolf Hanel><Stuart A. Kauffman><Stefan Thurner',,,
10.1103/PhysRevE.72.056204|2005-11-07|b'05.45.Xt><05.45.Pq><05.45.Gg'|b'Awadhesh Prasad',,,
10.1103/PhysRevE.72.026607|2005-08-17|b'42.65.Sf><05.40.Ca><05.45.\xe2\x88\x92a'|b'C\xc3\xa9line Durniak><Majid Taki><Mustapha Tlidi><Pier Luigi Ramazza><Umberto Bortolozzo><Gregory Kozyreff',,,
10.1103/PhysRevE.72.036208|2005-09-09|b'47.54.+r><05.70.Ln><89.75.Kd'|b'Swati Bhattacharya',,,
10.1103/PhysRevE.72.016614|2005-07-18|b'42.65.Sf><89.75.Kd><05.65.+b><42.70.Qs'|b'Dami\xc3\xa0 Gomila><Gian-Luca Oppo',,,
10.1103/PhysRevE.72.036222|2005-09-30|b'05.45.\xe2\x88\x92a><05.40.\xe2\x88\x92a><02.50.\xe2\x88\x92r><82.20.\xe2\x88\x92w'|b'L. Y. Chew><Christopher Ting><C. H. Lai',,,
10.1103/PhysRevE.72.026203|2005-08-03|b'05.45.Gg><02.30.Yy><02.30.Ks'|b'T. Pyragien\xc4\x97><K. Pyragas',,,
10.1103/PhysRevE.72.066202|2005-12-01|b'43.25.+y><89.75.Kd'|b'Isabel P\xc3\xa9rez-Arjona><V\xc3\xadctor J. S\xc3\xa1nchez-Morcillo',,,
10.1103/PhysRevE.72.065104|2005-12-15|b'89.75.Hc><02.50.Ey><02.50.Le><05.40.\xe2\x88\x92a'|b'Jun Ohkubo><Muneki Yasuda><Kazuyuki Tanaka',,,
10.1103/PhysRevE.72.069902|2005-12-22|b'05.45.\xe2\x88\x92a><47.54.+r><05.65.+b><82.40.Bj><99.10.Fg'|b'V. S. Zykov><H. Brandtst\xc3\xa4dter><G. Bordiougov><H. Engel',,,
10.1103/PhysRevE.72.025103|2005-08-30|b'89.75.Hc><89.75.Da><89.75.Fb'|b'Danilo Sergi',,,
