10.1103/PhysRevE.72.051506|2005-11-29|b'64.70.Fx><64.60.Ht><75.60.Ej><67.70.+n'|b'F. Detcheverry><E. Kierlik><M. L. Rosinberg><G. Tarjus',,,
10.1103/PhysRevE.72.046116|2005-10-17|b'89.75.Hc><05.65.+b'|b'Kazuhiro Takemoto><Chikoo Oosawa',,,
10.1103/PhysRevE.72.046221|2005-10-28|b'05.45.Xt><89.75.Kd'|b'Meng Zhan><Raymond Kapral',,,
10.1103/PhysRevE.72.051803|2005-11-02|b'82.35.Gh><64.60.Fr><82.37.Rs'|b'Rajeev Kapri><Somendra M. Bhattacharjee',,,
10.1103/PhysRevE.72.026120|2005-08-18|b'05.70.Jk><05.50.+q><47.55.Mh><64.60.Ak'|b'Thomas Harter',,,
10.1103/PhysRevE.72.056105|2005-11-07|b'64.60.Fr'|b'Nicola Fameli><David A. Balzarini',,,
10.1103/PhysRevE.72.016217|2005-07-25|b'05.45.Xt><05.45.Ra><89.75.Hc><02.10.Ox'|b'Fatihcan M. Atay><T\xc3\xbcrker B\xc4\xb1y\xc4\xb1ko\xc4\x9flu',,,
10.1103/PhysRevE.72.036605|2005-09-13|b'05.45.Yv><61.25.Hq><64.60.Cn><64.75.+g'|b'Fred Cooper><Avinash Khare><Bogdan Mihaila><Avadh Saxena',,,
10.1103/PhysRevE.72.036114|2005-09-14|b'89.75.Fb'|b'N. Read',,,
10.1103/PhysRevE.72.016101|2005-07-01|b'05.50.+q><64.60.Cn><64.60.Fr><75.10.Hk'|b'Youjin Deng><Wenan Guo><Henk W. J. Bl\xc3\xb6te',,,
10.1103/PhysRevE.72.016108|2005-07-08|b'05.65.+b><05.45.\xe2\x88\x92a><64.60.Ak><89.70.+c'|b'M. Manning><J. M. Carlson><J. Doyle',,,
10.1103/PhysRevE.72.017101|2005-07-01|b'89.75.Da><89.75.Hc><82.20.\xe2\x88\x92w><05.40.\xe2\x88\x92a'|b'Lazaros K. Gallos><Panos Argyrakis',,,
10.1103/PhysRevE.72.056710|2005-11-28|b'05.10.Ln><64.60.Cn><75.10.Hk'|b'S. Reynal><H. T. Diep',,,
10.1103/PhysRevE.72.016207|2005-07-13|b'05.45.\xe2\x88\x92a><89.75.Kd><05.40.\xe2\x88\x92a'|b'Matja\xc5\xbe Perc',,,
10.1103/PhysRevE.72.051704|2005-11-07|b'64.70.Md><64.60.Cn><61.30.Cz><61.30.St'|b'Szabolcs Varga><Kirstin Purdy><Amparo Galindo><Seth Fraden><George Jackson',,,
10.1103/PhysRevE.72.029902|2005-08-18|b'52.35.Ra><96.50.Ci><95.30.Qd><89.75.Da><99.10.Cd'|b'Bogdan Hnat><Sandra C. Chapman><George Rowlands',,,
10.1103/PhysRevE.72.016103|2005-07-05|b'64.60.Cn><47.20.Bp><47.54.+r><05.45.\xe2\x88\x92a'|b'Robert L. Jack><Ludovic Berthier><Juan P. Garrahan',,,
10.1103/PhysRevE.72.016121|2005-07-20|b'64.60.\xe2\x88\x92i><73.23.\xe2\x88\x92b'|b'Yakov M. Strelniker><Shlomo Havlin><Richard Berkovits><Aviad Frydman',,,
10.1103/PhysRevE.72.036133|2005-09-30|b'89.75.Hc><87.23.Ge><05.70.Ln'|b'M. \xc3\x81ngeles Serrano><Mari\xc3\xa1n Bogu\xc3\xb1\xc3\xa1',,,
10.1103/PhysRevE.72.015102|2005-07-07|b'89.75.Hc><75.10.Nr><84.40.Ua'|b'M. B. Hastings',,,
